Sl. No.,Image Filename,Anomaly,Anomaly,Classification of Image,Image Classification Level 2,Image Classification Level 1,,Tr/Te,,,,,
479,Cluster-Safe-\\2\\image-1658.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
671,Cluster-Safe-\\3\\image-1423.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
822,Cluster-Safe-\\6\\image-662.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
919,Cluster-Safe-\\6\\image-1438.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1036,Cluster-Safe-\\8\\image-529.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1082,Cluster-Safe-\\8\\image-917.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1116,Cluster-Safe-\\8\\image-1185.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1194,Cluster-Safe-\\9\\image-183.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1281,Cluster-Safe-\\9\\image-1268.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1326,Cluster-Safe-\\9\\image-1806.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1415,Cluster-Safe-\\13\\image-914.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1463,Cluster-Safe-\\13\\image-1511.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1477,Cluster-Safe-\\13\\image-1633.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1539,Cluster-Safe-\\14\\image-437.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1626,Cluster-Safe-\\14\\image-1617.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
50,Cluster-Safe-\\0\\image-368.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
82,Cluster-Safe-\\0\\image-622.jpg,0,Normal,No Issue,,#N/A,1,Train,,,,,
104,Cluster-Safe-\\0\\image-836.jpg,0,Normal,No Issue,,#N/A,1,Train,,,,,
223,Cluster-Safe-\\0\\image-1788.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
383,Cluster-Safe-\\2\\image-949.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
443,Cluster-Safe-\\2\\image-1404.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
506,Cluster-Safe-\\2\\image-1857.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
513,Cluster-Safe-\\2\\image-1912.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
574,Cluster-Safe-\\3\\image-568.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
629,Cluster-Safe-\\3\\image-1068.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
680,Cluster-Safe-\\3\\image-1513.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
701,Cluster-Safe-\\3\\image-1706.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
708,Cluster-Safe-\\3\\image-1793.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
914,Cluster-Safe-\\6\\image-1409.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
933,Cluster-Safe-\\6\\image-1540.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1006,Cluster-Safe-\\8\\image-267.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1300,Cluster-Safe-\\9\\image-1488.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1455,Cluster-Safe-\\13\\image-1424.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1472,Cluster-Safe-\\13\\image-1605.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1580,Cluster-Safe-\\14\\image-1008.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1814,Cluster-Safe-\\17\\image-1677.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
49,Cluster-Safe-\\0\\image-366.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
90,Cluster-Safe-\\0\\image-684.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
229,Cluster-Safe-\\0\\image-1826.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
278,Cluster-Safe-\\2\\image-243.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,1,Train,,,,,
342,Cluster-Safe-\\2\\image-657.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
373,Cluster-Safe-\\2\\image-883.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
432,Cluster-Safe-\\2\\image-1300.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
642,Cluster-Safe-\\3\\image-1169.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
776,Cluster-Safe-\\6\\image-338.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
949,Cluster-Safe-\\6\\image-1688.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1504,Cluster-Safe-\\13\\image-1913.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1546,Cluster-Safe-\\14\\image-493.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1649,Cluster-Safe-\\14\\image-1856.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1650,Cluster-Safe-\\14\\image-1877.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1682,Cluster-Safe-\\17\\image-200.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1750,Cluster-Safe-\\17\\image-997.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
92,Cluster-Safe-\\0\\image-723.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
111,Cluster-Safe-\\0\\image-922.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
184,Cluster-Safe-\\0\\image-1538.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
426,Cluster-Safe-\\2\\image-1257.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
558,Cluster-Safe-\\3\\image-347.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
670,Cluster-Safe-\\3\\image-1408.jpg,1,Anomaly,Issue,Special Mechanical Systems,Mechanical,1,Train,,,,,
867,Cluster-Safe-\\6\\image-1127.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1178,Cluster-Safe-\\8\\image-1990.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1216,Cluster-Safe-\\9\\image-512.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1225,Cluster-Safe-\\9\\image-581.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1296,Cluster-Safe-\\9\\image-1446.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1364,Cluster-Safe-\\13\\image-286.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1393,Cluster-Safe-\\13\\image-682.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1676,Cluster-Safe-\\17\\image-112.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
123,Cluster-Safe-\\0\\image-1010.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
129,Cluster-Safe-\\0\\image-1092.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,1,Train,,,,,
148,Cluster-Safe-\\0\\image-1258.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
192,Cluster-Safe-\\0\\image-1586.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
413,Cluster-Safe-\\2\\image-1163.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
577,Cluster-Safe-\\3\\image-587.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
840,Cluster-Safe-\\6\\image-848.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
908,Cluster-Safe-\\6\\image-1383.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1157,Cluster-Safe-\\8\\image-1805.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1232,Cluster-Safe-\\9\\image-655.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1249,Cluster-Safe-\\9\\image-823.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1282,Cluster-Safe-\\9\\image-1280.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1374,Cluster-Safe-\\13\\image-397.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1500,Cluster-Safe-\\13\\image-1885.jpg,0,Anomaly,Issue,,#N/A,1,Train,,,,,
1725,Cluster-Safe-\\17\\image-737.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1756,Cluster-Safe-\\17\\image-1030.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
21,Cluster-Safe-\\0\\image-130.jpg,0,Normal,Potential Issue,EQUIPMENT,E EQUIPMENT & FURNISHINGS,1,Train,,,,,
41,Cluster-Safe-\\0\\image-299.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
185,Cluster-Safe-\\0\\image-1553.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,1,Train,,,,,
331,Cluster-Safe-\\2\\image-578.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,1,Train,,,,,
345,Cluster-Safe-\\2\\image-677.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
379,Cluster-Safe-\\2\\image-902.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
508,Cluster-Safe-\\2\\image-1874.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
542,Cluster-Safe-\\3\\image-201.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,1,Train,,,,,
555,Cluster-Safe-\\3\\image-324.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
591,Cluster-Safe-\\3\\image-728.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
598,Cluster-Safe-\\3\\image-775.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
751,Cluster-Safe-\\6\\image-109.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
896,Cluster-Safe-\\6\\image-1306.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
971,Cluster-Safe-\\6\\image-1895.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1115,Cluster-Safe-\\8\\image-1180.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1280,Cluster-Safe-\\9\\image-1263.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1367,Cluster-Safe-\\13\\image-303.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1436,Cluster-Safe-\\13\\image-1145.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1625,Cluster-Safe-\\14\\image-1603.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1688,Cluster-Safe-\\17\\image-276.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1777,Cluster-Safe-\\17\\image-1284.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1796,Cluster-Safe-\\17\\image-1532.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
136,Cluster-Safe-\\0\\image-1121.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
208,Cluster-Safe-\\0\\image-1708.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
326,Cluster-Safe-\\2\\image-561.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
417,Cluster-Safe-\\2\\image-1204.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
447,Cluster-Safe-\\2\\image-1425.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
719,Cluster-Safe-\\3\\image-1858.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
737,Cluster-Safe-\\6\\image-7.jpeg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
797,Cluster-Safe-\\6\\image-484.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
993,Cluster-Safe-\\8\\image-139.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1032,Cluster-Safe-\\8\\image-487.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1035,Cluster-Safe-\\8\\image-507.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1067,Cluster-Safe-\\8\\image-757.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1161,Cluster-Safe-\\8\\image-1836.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1241,Cluster-Safe-\\9\\image-776.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1250,Cluster-Safe-\\9\\image-832.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1337,Cluster-Safe-\\9\\image-1974.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1430,Cluster-Safe-\\13\\image-1112.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1507,Cluster-Safe-\\13\\image-1944.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1589,Cluster-Safe-\\14\\image-1208.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1604,Cluster-Safe-\\14\\image-1402.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1671,Cluster-Safe-\\17\\image-94.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
109,Cluster-Safe-\\0\\image-882.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,2,Train,,,,,
119,Cluster-Safe-\\0\\image-992.jpg,1,Anomaly,Risk,G10 Site Preparation,G BUILDING SITEWORK,2,Train,,,,,
215,Cluster-Safe-\\0\\image-1750.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
227,Cluster-Safe-\\0\\image-1821.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
256,Cluster-Safe-\\2\\image-18.jpeg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
279,Cluster-Safe-\\2\\image-249.jpg,1,Anomaly,Issue,G10 Site Preparation,G BUILDING SITEWORK,2,Train,,,,,
316,Cluster-Safe-\\2\\image-528.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
338,Cluster-Safe-\\2\\image-636.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
377,Cluster-Safe-\\2\\image-894.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,2,Train,,,,,
448,Cluster-Safe-\\2\\image-1426.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,2,Train,,,,,
483,Cluster-Safe-\\2\\image-1692.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
499,Cluster-Safe-\\2\\image-1796.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
563,Cluster-Safe-\\3\\image-430.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
620,Cluster-Safe-\\3\\image-941.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
745,Cluster-Safe-\\6\\image-58.jpeg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
921,Cluster-Safe-\\6\\image-1444.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
969,Cluster-Safe-\\6\\image-1891.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1090,Cluster-Safe-\\8\\image-974.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1120,Cluster-Safe-\\8\\image-1237.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1288,Cluster-Safe-\\9\\image-1341.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1294,Cluster-Safe-\\9\\image-1396.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1304,Cluster-Safe-\\9\\image-1510.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1427,Cluster-Safe-\\13\\image-1103.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1465,Cluster-Safe-\\13\\image-1518.jpg,1,Normal,Potential Issue,,#N/A,2,Train,,,,,
1548,Cluster-Safe-\\14\\image-520.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1587,Cluster-Safe-\\14\\image-1183.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
72,Cluster-Safe-\\0\\image-496.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
450,Cluster-Safe-\\2\\image-1439.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
464,Cluster-Safe-\\2\\image-1551.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
746,Cluster-Safe-\\6\\image-64.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
877,Cluster-Safe-\\6\\image-1192.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
937,Cluster-Safe-\\6\\image-1585.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
942,Cluster-Safe-\\6\\image-1625.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1041,Cluster-Safe-\\8\\image-565.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1137,Cluster-Safe-\\8\\image-1398.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1263,Cluster-Safe-\\9\\image-1075.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1606,Cluster-Safe-\\14\\image-1417.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1658,Cluster-Safe-\\14\\image-1932.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1678,Cluster-Safe-\\17\\image-144.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1804,Cluster-Safe-\\17\\image-1589.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1830,Cluster-Safe-\\17\\image-1881.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1831,Cluster-Safe-\\17\\image-1899.jpg,0,Normal,No Issue,,#N/A,2,Train,,,,,
32,Cluster-Safe-\\0\\image-208.jpg,0,Normal,Potential Issue,EQUIPMENT,E EQUIPMENT & FURNISHINGS,2,Train,,,,,
97,Cluster-Safe-\\0\\image-803.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
357,Cluster-Safe-\\2\\image-773.jpg,1,Anomaly,Issue,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,2,Train,,,,,
452,Cluster-Safe-\\2\\image-1450.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
466,Cluster-Safe-\\2\\image-1561.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
552,Cluster-Safe-\\3\\image-297.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
607,Cluster-Safe-\\3\\image-863.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
624,Cluster-Safe-\\3\\image-991.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
641,Cluster-Safe-\\3\\image-1158.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,2,Train,,,,,
648,Cluster-Safe-\\3\\image-1201.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
672,Cluster-Safe-\\3\\image-1447.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,2,Train,,,,,
687,Cluster-Safe-\\3\\image-1564.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
851,Cluster-Safe-\\6\\image-952.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
858,Cluster-Safe-\\6\\image-1025.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,2,Train,,,,,
894,Cluster-Safe-\\6\\image-1302.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
928,Cluster-Safe-\\6\\image-1500.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1273,Cluster-Safe-\\9\\image-1226.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1275,Cluster-Safe-\\9\\image-1236.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1297,Cluster-Safe-\\9\\image-1465.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1348,Cluster-Safe-\\13\\image-116.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1486,Cluster-Safe-\\13\\image-1756.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1655,Cluster-Safe-\\14\\image-1924.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1691,Cluster-Safe-\\17\\image-294.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1711,Cluster-Safe-\\17\\image-618.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1790,Cluster-Safe-\\17\\image-1456.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1800,Cluster-Safe-\\17\\image-1550.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
87,Cluster-Safe-\\0\\image-647.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
414,Cluster-Safe-\\2\\image-1191.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
890,Cluster-Safe-\\6\\image-1283.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1094,Cluster-Safe-\\8\\image-989.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1209,Cluster-Safe-\\9\\image-413.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1233,Cluster-Safe-\\9\\image-658.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1317,Cluster-Safe-\\9\\image-1721.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1324,Cluster-Safe-\\9\\image-1792.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1365,Cluster-Safe-\\13\\image-288.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1454,Cluster-Safe-\\13\\image-1407.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1457,Cluster-Safe-\\13\\image-1434.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1555,Cluster-Safe-\\14\\image-642.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
29,Cluster-Safe-\\0\\image-187.jpg,0,Normal,Potential Issue,EQUIPMENT,E EQUIPMENT & FURNISHINGS,2,Train,,,,,
31,Cluster-Safe-\\0\\image-198.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
247,Cluster-Safe-\\0\\image-1969.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
360,Cluster-Safe-\\2\\image-801.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
368,Cluster-Safe-\\2\\image-857.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
507,Cluster-Safe-\\2\\image-1871.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
768,Cluster-Safe-\\6\\image-275.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
807,Cluster-Safe-\\6\\image-535.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1024,Cluster-Safe-\\8\\image-406.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1196,Cluster-Safe-\\9\\image-196.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1223,Cluster-Safe-\\9\\image-570.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1345,Cluster-Safe-\\13\\image-80.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1406,Cluster-Safe-\\13\\image-796.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1471,Cluster-Safe-\\13\\image-1577.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1480,Cluster-Safe-\\13\\image-1663.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
3,Cluster-Safe-\\0\\image-11.jpeg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
46,Cluster-Safe-\\0\\image-323.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,2,Train,,,,,
88,Cluster-Safe-\\0\\image-664.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
179,Cluster-Safe-\\0\\image-1485.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
260,Cluster-Safe-\\2\\image-51.jpeg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
488,Cluster-Safe-\\2\\image-1732.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,2,Train,,,,,
582,Cluster-Safe-\\3\\image-671.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
639,Cluster-Safe-\\3\\image-1155.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,2,Train,,Anomaly,,,
653,Cluster-Safe-\\3\\image-1265.jpg,1,Anomaly,Risk,D30 HVAC,D SERVICES,2,Train,,,,,
674,Cluster-Safe-\\3\\image-1451.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
864,Cluster-Safe-\\6\\image-1101.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,1,Site Mechanical Utilities,Special Mechanical System,Special Construction
950,Cluster-Safe-\\6\\image-1696.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1037,Cluster-Safe-\\8\\image-534.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,0,Foundations,EQUIPMENT,Foundations
1073,Cluster-Safe-\\8\\image-833.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1193,Cluster-Safe-\\9\\image-181.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1298,Cluster-Safe-\\9\\image-1466.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1350,Cluster-Safe-\\13\\image-120.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1385,Cluster-Safe-\\13\\image-516.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1392,Cluster-Safe-\\13\\image-673.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1412,Cluster-Safe-\\13\\image-864.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1464,Cluster-Safe-\\13\\image-1512.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1664,Cluster-Safe-\\14\\image-1970.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
